159,"$62,475","98502 / 30,299"
160,"$62,396",99401 / 237
161,"$62,328","98406 / 21,824"
162,"$62,222",98585 / 660
163,"$62,143","98365 / 4,507"
164,"$62,113","98383 / 20,816"
165,"$62,083",99135 / 260
166,"$61,961","99354 / 22,653"
167,"$61,875",98832 / 263
168,"$61,625","98295 / 2,448"
169,"$61,558","98236 / 5,840"
170,"$61,516","98580 / 11,090"
171,"$61,429","98239 / 7,020"
172,"$61,396","98043 / 20,358"
173,"$61,307","98443 / 5,542"
174,"$61,250","98328 / 9,526"
175,"$61,228","98373 / 23,096"
176,"$61,116","98250 / 7,771"
177,"$60,913","98828 / 2,310"
178,"$60,833",98565 / 516
179,"$60,811","98221 / 20,466"
180,"$60,750",99030 / 980
181,"$60,647","98358 / 1,218"
182,"$60,629","98037 / 27,676"
183,"$60,521",99146 / 89
184,"$60,263","99123 / 1,209"
185,"$60,153","98249 / 4,435"
186,"$60,143","98144 / 27,496"
187,"$60,125","98467 / 15,836"
188,"$60,079","98506 / 18,288"
189,"$60,034","98662 / 33,688"
190,"$59,871","98675 / 7,335"
191,"$59,852","98247 / 10,458"
192,"$59,758","99037 / 12,604"
193,"$59,735","98815 / 7,335"
194,"$59,709","98229 / 31,522"
195,"$59,708","98603 / 1,013"
196,"$59,653",98940 / 572
197,"$59,637","98178 / 23,866"
198,"$59,615","98240 / 2,862"
199,"$59,375",98286 / 221
200,"$59,369","98248 / 22,741"
201,"$59,354","98264 / 18,096"
202,"$59,325","98682 / 56,326"
203,"$59,135","98445 / 30,199"
204,"$58,874","98683 / 31,908"
205,"$58,750",98222 / 53
206,"$58,608","99016 / 12,908"
207,"$58,550",98542 / 459
208,"$58,401",98571 / 293
209,"$58,337","98403 / 7,931"
210,"$58,300",99321 / 661
211,"$58,277","98230 / 16,080"
212,"$58,239","98579 / 13,494"
213,"$58,125","98325 / 1,657"
214,"$58,063","98908 / 35,926"
215,"$58,008","98424 / 10,353"
216,"$57,904","99161 / 1,422"
217,"$57,882","99350 / 14,387"
218,"$57,880","98388 / 6,784"
219,"$57,872","98802 / 28,672"
220,"$57,756","98274 / 17,051"
221,"$57,727","99021 / 8,897"
222,"$57,706","99224 / 20,531"
223,"$57,583","98942 / 16,724"
224,"$57,533","99301 / 74,025"
225,"$57,413","98366 / 33,311"
226,"$57,261","98203 / 34,901"
227,"$57,216","98684 / 27,442"
228,"$57,198","98503 / 36,729"
229,"$57,083",99341 / 786
230,"$57,073","98576 / 4,691"
231,"$57,068","98936 / 5,562"
232,"$56,932",98941 / 947
233,"$56,875",98613 / 630
234,"$56,852","98524 / 3,486"
235,"$56,607",98811 / 87
236,"$56,528",98323 / 600
237,"$56,320","98146 / 25,722"
238,"$56,250",99322 / 215
239,"$56,133","98498 / 27,272"
240,"$56,114","98284 / 24,583"
241,"$56,036","98312 / 31,331"
242,"$55,925","98226 / 41,445"
243,"$55,725","98122 / 34,054"
244,"$55,721","98953 / 7,113"
245,"$55,667","98537 / 2,143"
246,"$55,625","98625 / 6,590"
247,"$55,587","99022 / 9,088"
248,"$55,516","98198 / 35,748"
249,"$55,333",98830 / 507
250,"$55,308","98589 / 7,142"
251,"$55,139",99345 / 192
252,"$55,021","98611 / 10,021"
253,"$54,867","98233 / 14,429"
254,"$54,861",99152 / 195
255,"$54,792","98645 / 1,193"
256,"$54,750","98563 / 8,320"
257,"$54,688","98392 / 3,019"
257,"$54,688","98601 / 2,643"
259,"$54,655","98672 / 5,731"
260,"$54,651","98823 / 10,821"
261,"$54,621","98528 / 9,286"
262,"$54,522","98390 / 10,558"
263,"$54,446","99208 / 50,686"
264,"$54,250","99326 / 5,912"
265,"$54,098","98294 / 6,654"
266,"$54,010","98466 / 26,498"
267,"$53,949","98106 / 25,023"
268,"$53,864",98068 / 240
269,"$53,792","98277 / 37,706"
270,"$53,750",98650 / 876
271,"$53,650","98257 / 4,099"
272,"$53,534","98597 / 21,840"
273,"$53,438","99402 / 1,904"
274,"$53,415","98118 / 44,440"
275,"$53,409",98381 / 465
276,"$53,263","99027 / 6,187"
277,"$53,250",98602 / 96
278,"$53,214","98923 / 1,053"
279,"$53,137","98663 / 13,566"
280,"$53,125",99176 / 197
281,"$53,050",98351 / 987
282,"$53,013","98237 / 4,106"
283,"$53,000",99371 / 364
284,"$52,934","98108 / 24,220"
285,"$52,780","98557 / 3,137"
286,"$52,663","98133 / 46,227"
287,"$52,625",98946 / 588
288,"$52,500",99147 / 115
289,"$52,384","99343 / 3,115"
290,"$52,353","98125 / 37,560"
291,"$52,339","98349 / 4,415"
292,"$52,328","99006 / 10,903"
293,"$52,297","98030 / 35,302"
294,"$52,222","98047 / 6,457"
295,"$52,083",98925 / 578
296,"$52,057","99206 / 36,760"
297,"$52,045",99018 / 306
298,"$51,850","98937 / 3,838"
299,"$51,827","98843 / 1,611"
300,"$51,771","98638 / 1,365"
301,"$51,726","99009 / 4,055"
302,"$51,687","99212 / 19,129"
303,"$51,685","98532 / 23,977"
304,"$51,635",99008 / 594
305,"$51,489","98664 / 21,205"
306,"$51,477",98643 / 436
307,"$51,471","98648 / 2,836"
308,"$51,276","99122 / 3,458"
309,"$51,189","99347 / 2,315"
310,"$51,125",98279 / 610
311,"$51,105","98922 / 5,734"
312,"$51,083","98933 / 1,296"
313,"$50,911","98801 / 41,526"
314,"$50,417",99329 / 192
315,"$50,305","98665 / 24,496"
316,"$50,195","98847 / 1,617"
317,"$50,134","99116 / 1,665"
318,"$50,133","98281 / 1,323"
319,"$50,054","98168 / 33,604"
320,"$49,946","99126 / 1,050"
321,"$49,945","98273 / 29,963"
322,"$49,731","99217 / 18,241"
323,"$49,521","99218 / 15,975"
324,"$49,489",98651 / 814
325,"$49,464","98394 / 1,525"
326,"$49,306","98588 / 2,165"
327,"$49,276",99033 / 962
328,"$49,125","98376 / 1,927"
329,"$49,120","98591 / 3,569"
330,"$49,052","98261 / 2,497"
331,"$49,000",99039 / 100
332,"$48,875",98834 / 200
333,"$48,869","98433 / 18,416"
334,"$48,835","99111 / 4,226"
335,"$48,750","99159 / 1,354"
336,"$48,594","98612 / 2,618"
337,"$48,398","98363 / 13,927"
338,"$48,357","98409 / 23,260"
339,"$48,337","98101 / 10,803"
340,"$48,228","98382 / 27,164"
